bucket,key,source_id,exchange,company_id,company_name,filing_date,filing_type,title
pdfs-128638789653,hkex/00001/2025/12/01/11934854.pdf,11934854,HKEX,00001,CKH HOLDINGS,2025-12-01,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 NOVEMBER 2025
pdfs-128638789653,hkex/00001/2025/11/12/11913513.pdf,11913513,HKEX,00001,CKH HOLDINGS,2025-11-12,Announcements and Notices,OVERSEAS REGULATORY ANNOUNCEMENT AND INSIDE INFORMATION ANNOUNCEMENT ON THE QUARTERLY TRADING UPDATE FOR CK HUTCHISON GROUP TELECOM HOLDINGS LIMITED
pdfs-128638789653,hkex/00001/2025/11/03/11898893.pdf,11898893,HKEX,00001,CKH HOLDINGS,2025-11-03,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 OCTOBER 2025
pdfs-128638789653,hkex/00001/2025/10/02/11865415.pdf,11865415,HKEX,00001,CKH HOLDINGS,2025-10-02,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 SEPTEMBER 2025
pdfs-128638789653,hkex/00001/2025/09/01/11822100.pdf,11822100,HKEX,00001,CKH HOLDINGS,2025-09-01,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 AUGUST 2025
pdfs-128638789653,hkex/00001/2025/08/28/11813651.pdf,11813651,HKEX,00001,CKH HOLDINGS,2025-08-28,Financial Statements&#x2f;ESG Information,2025 INTERIM REPORT
pdfs-128638789653,hkex/00001/2025/08/14/11794925.pdf,11794925,HKEX,00001,CKH HOLDINGS,2025-08-14,Announcements and Notices,UNAUDITED RESULTS FOR THE SIX MONTHS ENDED 30 JUNE 2025
pdfs-128638789653,hkex/00001/2025/08/14/11795037.pdf,11795037,HKEX,00001,CKH HOLDINGS,2025-08-14,Announcements and Notices,INTERIM DIVIDEND FOR THE SIX MONTHS ENDED 30 JUNE 2025
pdfs-128638789653,hkex/00001/2025/08/01/11776647.pdf,11776647,HKEX,00001,CKH HOLDINGS,2025-08-01,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 JULY 2025
pdfs-128638789653,hkex/00001/2025/07/31/11774939.pdf,11774939,HKEX,00001,CKH HOLDINGS,2025-07-31,Announcements and Notices,DATE OF BOARD MEETING
pdfs-128638789653,hkex/00001/2025/07/28/11769089.pdf,11769089,HKEX,00001,CKH HOLDINGS,2025-07-28,Announcements and Notices,INSIDE INFORMATION RELATING TO TRANSACTION INVOLVING THE HUTCHISON PORTS GROUP
pdfs-128638789653,hkex/00001/2025/07/15/11756804.pdf,11756804,HKEX,00001,CKH HOLDINGS,2025-07-15,Announcements and Notices,FORFEITURE OF UNCLAIMED DIVIDENDS
pdfs-128638789653,hkex/00001/2025/07/02/11740531.pdf,11740531,HKEX,00001,CKH HOLDINGS,2025-07-02,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 JUNE 2025
pdfs-128638789653,hkex/00001/2025/06/02/11694938.pdf,11694938,HKEX,00001,CKH HOLDINGS,2025-06-02,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MAY 2025
pdfs-128638789653,hkex/00001/2025/05/22/11683185.pdf,11683185,HKEX,00001,CKH HOLDINGS,2025-05-22,Announcements and Notices,ANNUAL GENERAL MEETING HELD ON 22 MAY 2025 - POLL RESULTS
pdfs-128638789653,hkex/00001/2025/05/12/11671469.pdf,11671469,HKEX,00001,CKH HOLDINGS,2025-05-12,Announcements and Notices,OVERSEAS REGULATORY ANNOUNCEMENT AND INSIDE INFORMATION ANNOUNCEMENT ON THE QUARTERLY TRADING UPDATE FOR CK HUTCHISON GROUP TELECOM HOLDINGS LIMITED
pdfs-128638789653,hkex/00001/2025/05/02/11659553.pdf,11659553,HKEX,00001,CKH HOLDINGS,2025-05-02,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 APRIL 2025
pdfs-128638789653,hkex/00001/2025/04/15/11627364.pdf,11627364,HKEX,00001,CKH HOLDINGS,2025-04-15,Financial Statements&#x2f;ESG Information,2024 SUSTAINABILITY REPORT
pdfs-128638789653,hkex/00001/2025/04/15/11627417.pdf,11627417,HKEX,00001,CKH HOLDINGS,2025-04-15,Circulars,LETTER TO NON-REGISTERED SHAREHOLDERS - REMINDER REGARDING THE ARRANGEMENTS ON DISSEMINATION OF CORPORATE COMMUNICATIONS
pdfs-128638789653,hkex/00001/2025/04/15/11627400.pdf,11627400,HKEX,00001,CKH HOLDINGS,2025-04-15,Circulars,REPLY FORM FOR REGISTERED SHAREHOLDERS
pdfs-128638789653,hkex/00001/2025/04/15/11627424.pdf,11627424,HKEX,00001,CKH HOLDINGS,2025-04-15,Circulars,REPLY FORM FOR NON-REGISTERED SHAREHOLDERS
pdfs-128638789653,hkex/00001/2025/04/15/11627231.pdf,11627231,HKEX,00001,CKH HOLDINGS,2025-04-15,Financial Statements&#x2f;ESG Information,2024 ANNUAL REPORT
pdfs-128638789653,hkex/00001/2025/04/15/11627384.pdf,11627384,HKEX,00001,CKH HOLDINGS,2025-04-15,Circulars,LETTER TO REGISTERED SHAREHOLDERS - REMINDER REGARDING THE ARRANGEMENTS ON DISSEMINATION OF CORPORATE COMMUNICATIONS
pdfs-128638789653,hkex/00001/2025/04/15/11627321.pdf,11627321,HKEX,00001,CKH HOLDINGS,2025-04-15,Circulars,NOTIFICATION LETTER TO REGISTERED SHAREHOLDERS - ANNUAL GENERAL MEETING
pdfs-128638789653,hkex/00001/2025/04/15/11627257.pdf,11627257,HKEX,00001,CKH HOLDINGS,2025-04-15,Circulars,NOTICE OF ANNUAL GENERAL MEETING&#x3b; PROPOSALS FOR RE-ELECTION OF DIRECTORS AND GENERAL MANDATES TO ISSUE NEW SHARES AND REPURCHASE SHARES
pdfs-128638789653,hkex/00001/2025/04/15/11627301.pdf,11627301,HKEX,00001,CKH HOLDINGS,2025-04-15,Proxy Forms,PROXY FORM FOR USE AT THE ANNUAL GENERAL MEETING
pdfs-128638789653,hkex/00001/2025/04/15/11627285.pdf,11627285,HKEX,00001,CKH HOLDINGS,2025-04-15,Announcements and Notices,NOTICE OF ANNUAL GENERAL MEETING
pdfs-128638789653,hkex/00001/2025/04/01/11606680.pdf,11606680,HKEX,00001,CKH HOLDINGS,2025-04-01,Announcements and Notices,NOMINATION COMMITTEE - TERMS OF REFERENCE
pdfs-128638789653,hkex/00001/2025/04/01/11606594.pdf,11606594,HKEX,00001,CKH HOLDINGS,2025-04-01,Monthly Returns,MONTHLY RETURN FOR EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MARCH 2025
